observed_at_utc,paper_id,title,previous_citations,current_citations,delta,change_type
2026-08-07T13:40:58Z,4OULZ7Gr8RgC,Chemical identification of an aggregation pheromone in the termite Reticulitermes speratus,49,50,1,citation_increase
2026-08-09T19:12:36Z,4OULZ7Gr8RgC,Chemical identification of an aggregation pheromone in the termite Reticulitermes speratus,50,51,1,citation_increase
2026-08-09T19:12:36Z,4fKUyHm3Qg0C,Genomic data provide insights into the classification of extant termites,89,91,2,citation_increase
2026-08-09T19:12:36Z,b0M2c_1WBrUC,Enhanced heterozygosity from male meiotic chromosome chains is superseded by hybrid female asexuality in termites,16,17,1,citation_increase
2026-08-09T19:12:36Z,dfsIfKJdRG4C,Modern termites inherited the potential of collective construction from their common ancestor,36,37,1,citation_increase
2026-08-14T13:44:48Z,4fKUyHm3Qg0C,Genomic data provide insights into the classification of extant termites,91,92,1,citation_increase
2026-08-14T13:44:48Z,5ugPr518TE4C,Variation in soldier investment is linked to the evolution of termite soldier defense strategies,1,2,1,citation_increase
2026-08-14T13:44:48Z,EUQCXRtRnyEC,The evolution of body size in termites,25,26,1,citation_increase
2026-08-14T13:44:48Z,NhqRSupF_l8C,Termite nest evolution fostered social parasitism by termitophilous rove beetles,14,15,1,citation_increase
2026-08-17T13:07:38Z,NaGl4SEjCO4C,A genomic imprinting model of termite caste determination: not genetic but epigenetic inheritance influences offspring caste fate,68,69,1,citation_increase
2026-08-17T13:07:38Z,_B80troHkn4C,Independent evolution of a living bridge in the old world army ant lineage,0,1,1,citation_increase
