observed_date,total_citations,source
2013-12-31,1,GoogleScholarCitations.xlsx
2014-12-31,3,GoogleScholarCitations.xlsx
2015-12-31,5,GoogleScholarCitations.xlsx
2016-12-31,6,GoogleScholarCitations.xlsx
2017-12-31,16,GoogleScholarCitations.xlsx
2018-12-31,39,GoogleScholarCitations.xlsx
2020-01-24,84,GoogleScholarCitations.xlsx
2020-03-04,86,GoogleScholarCitations.xlsx
2020-03-08,87,GoogleScholarCitations.xlsx
2020-03-09,89,GoogleScholarCitations.xlsx
2020-03-22,90,GoogleScholarCitations.xlsx
2020-06-07,99,GoogleScholarCitations.xlsx
2020-06-20,102,GoogleScholarCitations.xlsx
2020-07-30,103,GoogleScholarCitations.xlsx
2020-08-25,113,GoogleScholarCitations.xlsx
2020-09-29,121,GoogleScholarCitations.xlsx
2020-10-24,130,GoogleScholarCitations.xlsx
2020-11-29,134,GoogleScholarCitations.xlsx
2020-12-26,138,GoogleScholarCitations.xlsx
2021-01-24,150,GoogleScholarCitations.xlsx
2021-02-16,153,GoogleScholarCitations.xlsx
2021-03-30,166,GoogleScholarCitations.xlsx
2021-04-24,173,GoogleScholarCitations.xlsx
2021-05-15,176,GoogleScholarCitations.xlsx
2021-06-01,177,GoogleScholarCitations.xlsx
2021-07-01,176,GoogleScholarCitations.xlsx
2021-08-01,185,GoogleScholarCitations.xlsx
2021-09-02,187,GoogleScholarCitations.xlsx
2021-10-01,190,GoogleScholarCitations.xlsx
2021-11-01,197,GoogleScholarCitations.xlsx
2021-12-01,202,GoogleScholarCitations.xlsx
2022-01-01,208,GoogleScholarCitations.xlsx
2022-02-01,211,GoogleScholarCitations.xlsx
2022-03-01,213,GoogleScholarCitations.xlsx
2022-04-03,221,GoogleScholarCitations.xlsx
2022-05-02,231,GoogleScholarCitations.xlsx
2022-06-01,236,GoogleScholarCitations.xlsx
2022-07-01,254,GoogleScholarCitations.xlsx
2022-08-01,266,GoogleScholarCitations.xlsx
2022-09-01,270,GoogleScholarCitations.xlsx
2022-10-01,273,GoogleScholarCitations.xlsx
2022-11-01,280,GoogleScholarCitations.xlsx
2022-12-01,291,GoogleScholarCitations.xlsx
2023-01-01,293,GoogleScholarCitations.xlsx
2026-04-01,857,GoogleScholarCitations.xlsx
2026-06-30,955,GoogleScholarCitations.xlsx
