observed_at_utc,paper_id,title,authors,venue,year,citations
2026-08-05T21:46:00Z,4fKUyHm3Qg0C,Genomic data provide insights into the classification of extant termites,"S Hellemans, MM Rocha, M Wang, J Romero Arias, DK Aanen, ...","Nature Communications 15 (1), 6724, 2024",2024,89
2026-08-05T21:46:00Z,NaGl4SEjCO4C,A genomic imprinting model of termite caste determination: not genetic but epigenetic inheritance influences offspring caste fate,"K Matsuura, N Mizumoto, K Kobayashi, T Nozaki, T Fujita, T Yashiro, ...","The American Naturalist 191 (6), 677-690, 2018",2018,68
2026-08-05T21:46:00Z,NMxIlDl6LWMC,Anomalous diffusion on the servosphere: A potential tool for detecting inherent organismal movement patterns,"N Nagaya, N Mizumoto, MS Abe, S Dobata, R Sato, R Fujisawa","PloS one 12 (6), e0177480, 2017",2017,52
2026-08-05T21:46:00Z,4OULZ7Gr8RgC,Chemical identification of an aggregation pheromone in the termite Reticulitermes speratus,"Y Mitaka, S Matsuyama, N Mizumoto, K Matsuura, T Akino","Scientific reports 10 (1), 7424, 2020",2020,49
2026-08-05T21:46:00Z,J_g5lzvAfSwC,Adaptive switch to sexually dimorphic movements by partner-seeking termites,"N Mizumoto, S Dobata","Science advances 5 (6), eaau6108, 2019",2019,45
2026-08-05T21:46:00Z,xtRiw3GOFMkC,"Molecular phylogeny reveals the past transoceanic voyages of drywood termites (Isoptera, Kalotermitidae)","A Buček, M Wang, J Šobotník, S Hellemans, D Sillam-Dussès, ...","Molecular Biology and Evolution 39 (5), msac093, 2022",2022,42
2026-08-05T21:46:00Z,cFHS6HbyZ2cC,Complex relationship between tunneling patterns and individual behaviors in termites,"N Mizumoto, PM Bardunias, SC Pratt","The American Naturalist 196 (5), 555-565, 2020",2020,42
2026-08-05T21:46:00Z,f2IySw72cVMC,Coordination of movement via complementary interactions of leaders and followers in termite mating pairs,"N Mizumoto, SB Lee, G Valentini, T Chouvenc, SC Pratt","Proceedings of the Royal Society B: Biological Sciences 288 (1954), 20210998, 2021",2021,37
2026-08-05T21:46:00Z,dfsIfKJdRG4C,Modern termites inherited the potential of collective construction from their common ancestor,"N Mizumoto, T Bourguignon","Ecology and Evolution 10 (13), 6775-6784, 2020",2020,36
2026-08-05T21:46:00Z,M3NEmzRMIkIC,Male same-sex pairing as an adaptive strategy for future reproduction in termites,"N Mizumoto, T Yashiro, K Matsuura","Animal Behaviour 119, 179-187, 2016",2016,36
2026-08-05T21:46:00Z,1sJd4Hv_s6UC,Ancestral sex-role plasticity facilitates the evolution of same-sex sexual behavior,"N Mizumoto, T Bourguignon, NW Bailey","Proceedings of the National Academy of Sciences 119 (46), e2212401119, 2022",2022,32
2026-08-05T21:46:00Z,ZHo1McVdvXMC,Revealing the structure of information flows discriminates similar animal social behaviors,"G Valentini, N Mizumoto, SC Pratt, TP Pavlic, SI Walker","Elife 9, e55395, 2020",2020,32
2026-08-05T21:46:00Z,hMod-77fHWUC,Optimizing mating encounters by sexually dimorphic movements,"N Mizumoto, MS Abe, S Dobata","Journal of The Royal Society Interface 14 (130), 20170086, 2017",2017,30
2026-08-05T21:46:00Z,yD5IFk8b50cC,Termite males enhance mating encounters by changing speed according to density,"N Mizumoto, A Rizo, SC Pratt, T Chouvenc","Journal of Animal Ecology 89 (11), 2542-2552, 2020",2020,29
